Need blood. #urgent Ambattur Chennai. Call 1234567890 AB- #MuneerTweet
Need blood. #urgent Ambattur Chennai. Call 1235554678 B+ve #MuneerTweet Testing. Please ignore.
#Thane #Mumbai 
Urgently needs A+ blood 
At: Jupiter Hospital
Call: 1237894560, 1236549870
#MuneerTweet Please ignore. Testing an app.
#Thane #Mumbai  Urgently needs A+ blood  At: Jupiter Hospital Call: 1237894560, 1236549870 #MuneerTweet Please ignore. Testing an app
#Thane #Bangalore 
Urgently needs A+ blood  
At: Jupiter Hospital Call: 1237894560, 1236549870 #MuneerTweet Please ignore. Testing an app
#Thane #Mumbai
Urgently needs A+ blood 
At: Jupiter Hospital
Call: 1237894560, 1236549870
#MuneerTweet Please ignore. Testing an app
#Thane #Mumbai Urgently needs A+ blood  At: Jupiter Hospital Call: 1237894560, 1236549870 #MuneerTweet Please ignore. Testing an app
#Thane #Mumbai 
Urgently needs A+ blood 
At: Jupiter Hospital 
Call: 1239864654, 1237896541
#MuneerTweet
#Thane #Chennai  Urgently needs B- blood  At: Jupiter Hospital  Call: 1239864654, 1237896541 #MuneerTweet
#Thane #Chennai  Urgently needs B- blood  At: Jupiter Hospital  Call: 1239864654, 1237896541 #MuneerTweet
#Thane #Chennai  Urgently needs B- blood  At: Jupiter Hospital  Call: 1239864654, 1237896541 #MuneerTweet
#Thane #Mumbai  Urgently needs A+ blood  At: Jupiter Hospital  Call: 1239864654, 1237896541 #MuneerTweet
